benchmark,cluster,slopeimxa,interceptimxa,slopeimxb,interceptimxb,slopetx,intercepttx
a2time-4K,little,0.25,0.21,0.24,0.31,0.58,0.87
a2time-4M,little,0.35,1.39,0.31,1.15,0.68,1.24
aifirf-4K,little,0.24,0.23,0.25,0.25,0.84,1.20
aifirf-4M,little,0.36,1.06,0.33,0.83,0.88,1.45
bitmnp-4K,little,0.19,0.23,0.21,0.23,0.46,0.73
bitmnp-4M,little,0.29,1.22,0.27,0.95,0.48,0.99
canrdr-4K,little,0.34,0.33,0.33,0.35,0.74,1.12
canrdr-4M,little,0.40,1.47,0.36,1.18,1.00,1.61
idctrn-4K,little,0.25,0.32,0.26,0.30,0.85,1.22
idctrn-4M,little,0.35,1.22,0.32,0.96,0.92,1.42
iirflt-4K,little,0.22,0.30,0.22,0.27,0.75,1.09
iirflt-4M,little,0.31,1.23,0.29,0.96,0.80,1.40
matrix-4K,little,0.33,0.37,0.31,0.34,0.92,1.25
matrix-4M,little,0.50,0.88,0.45,0.73,0.95,1.36
pntrch-4K,little,0.23,0.26,0.23,0.26,0.75,1.09
pntrch-4M,little,0.41,0.54,0.34,0.38,0.79,1.19
puwmod-4K,little,0.28,0.32,0.28,0.31,0.68,0.99
puwmod-4M,little,0.36,1.40,0.32,1.11,0.80,1.42
rspeed-4K,little,0.34,0.36,0.33,0.33,0.82,1.26
rspeed-4M,little,0.46,1.68,0.40,1.34,1.20,2.10
tblook-4K,little,0.22,0.27,0.23,0.25,0.79,1.20
tblook-4M,little,0.25,1.33,0.25,1.01,0.89,1.34
ttsprk-4K,little,0.36,0.37,0.34,0.34,0.68,1.05
ttsprk-4M,little,0.67,0.32,0.57,0.28,0.70,1.08
membench-1K-RO-R,little,0.14,0.21,0.15,0.17,0.33,0.58
membench-1M-RO-R,little,0.50,0.72,0.40,0.61,0.40,0.76
membench-4M-RO-R,little,0.23,1.53,0.19,1.24,0.37,0.87
membench-1K-RW-R,little,0.18,0.23,0.19,0.20,0.61,0.93
membench-1M-RW-R,little,0.58,0.81,0.47,0.63,0.53,0.84
membench-4M-RW-R,little,0.30,1.61,0.25,1.30,0.48,0.99
membench-1K-RO-S,little,0.15,0.21,0.15,0.18,0.33,0.59
membench-1M-RO-S,little,0.71,0.94,0.57,0.86,0.56,0.96
membench-4M-RO-S,little,0.44,1.77,0.37,1.47,0.49,1.19
membench-1K-RW-S,little,0.17,0.24,0.18,0.20,0.61,0.93
membench-1M-RW-S,little,0.82,0.95,0.57,0.88,0.84,1.29
membench-4M-RW-S,little,0.48,1.97,0.34,1.60,0.66,1.91
tinyrenderer-boggie,little,0.28,1.28,0.25,0.92,0.56,1.07
tinyrenderer-diablo,little,0.27,1.28,0.24,0.87,0.57,1.00
